@ref,@id,@form,@lemma,@postag,@relation
Leuven|0032-002|71|1,1,τοὺς,ὁ,l-p---ma-,ATR
Leuven|0032-002|71|2,2,δὲ,δέ,d--------,AuxY
Leuven|0032-002|71|3,3,τοιούτους,τοιοῦτος,p-p---ma-,ATR
Leuven|0032-002|71|4,4,λόγους,λόγος,n-p---ma-,SBJ
Leuven|0032-002|71|5,5,ἐπαίρειν,ἐπαίρω,v--pna---,OBJ
Leuven|0032-002|71|6,6,ἔφη,φημί,v3siia---,PRED
Leuven|0032-002|71|7,7,τοὺς,ὁ,l-p---ma-,ATR
Leuven|0032-002|71|8,8,νέους,νέος,a-p---ma-,OBJ
Leuven|0032-002|71|9,9,καταφρονεῖν,καταφρονέω,v--pna---,OBJ_CO
Leuven|0032-002|71|10,10,τῆς,ὁ,l-s---fg-,ATR
Leuven|0032-002|71|11,11,καθεστώσης,καθίστημι,v-srpafg-,ATR
Leuven|0032-002|71|12,12,πολιτείας,πολιτεία,n-s---fg-,OBJ
Leuven|0032-002|71|13,13,καὶ,καί,c--------,COORD
Leuven|0032-002|71|14,14,ποιεῖν,ποιέω,v--pna---,OBJ_CO
Leuven|0032-002|71|15,15,βιαίους,βίαιος,a-p---ma-,OBJ
Leuven|0032-002|71|16,16,.,.,u--------,AuxK
