,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|0058-001|222|1,1,διενέγκοι,διαφέρω,v3saoa---,PRED
1,Leuven|0058-001|222|2,2,γὰρ,γάρ,d--------,AuxY
2,Leuven|0058-001|222|3,3,ἂν,ἄν,d--------,AuxY
3,Leuven|0058-001|222|4,4,ἑκατέροις,ἑκάτερος,a-p---md-,OBJ
4,Leuven|0058-001|222|5,5,ὅσον,ὅσος,p-s---na-,ADV
5,Leuven|0058-001|222|6,6,εἰ,εἰ,c--------,AuxC
6,Leuven|0058-001|222|7,7,τοῖς,ὁ,l-p---md-,OBJ_CO
7,Leuven|0058-001|222|8,8,μὲν,μέν,d--------,AuxY
8,Leuven|0058-001|222|9,9,νυκτὸς,νύξ,n-s---fg-,ADV_CO
9,Leuven|0058-001|222|10,10,μάχεσθαι,μάχομαι,v--pne---,OBJ
10,Leuven|0058-001|222|11,11,εἰλήχει,λαγχάνω,v3slia---,ADV
11,Leuven|0058-001|222|12,12,τοῖς,ὁ,l-p---md-,OBJ_CO
12,Leuven|0058-001|222|13,13,δὲ,δέ,d--------,COORD
13,Leuven|0058-001|222|14,14,ἡμέρας,ἡμέρα,n-s---fg-,ADV_CO
15,Leuven|0058-001|222|16,16,εἰ,εἰ,c--------,AuxC
16,Leuven|0058-001|222|17,17,οἷόν,οἷος,p-s---nn-,PNOM
17,Leuven|0058-001|222|18,18,τέ,τε,c--------,AuxY
18,Leuven|0058-001|222|19,19,πως,πως,d--------,ADV
19,Leuven|0058-001|222|20,20,ἦν,εἰμί,v3siia---,ADV
20,Leuven|0058-001|222|21,21,τοῦτο,οὗτος,p-s---na-,SBJ
21,Leuven|0058-001|222|22,22,ἅμα,ἅμα,d--------,ADV
22,Leuven|0058-001|222|23,23,γενέσθαι,γίγνομαι,v--anm---,SBJ
