,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|0096-00#|1012|1,1,οἱ,ὁ,l-p---mn-,SBJ
1,Leuven|0096-00#|1012|2,2,τοιαῦτα,τοιοῦτος,p-p---na-,ATR
2,Leuven|0096-00#|1012|3,3,προβλήματα,πρόβλημα,n-p---na-,OBJ
3,Leuven|0096-00#|1012|4,4,καθιέντες,καθίημι,v-pppamn-,ADV
4,Leuven|0096-00#|1012|5,5,οὐδέν,οὐδείς,p-s---na-,ADV
5,Leuven|0096-00#|1012|6,6,ἄν,ἄν,d--------,AuxY
6,Leuven|0096-00#|1012|7,7,τῆς,ὁ,l-s---fg-,ATR
7,Leuven|0096-00#|1012|8,8,Αἰσωπείου,Αἰσώπειος,a-s---fg-,ATR
8,Leuven|0096-00#|1012|9,9,γεράνου,γέρανος,n-s---fg-,ADV_CO
9,Leuven|0096-00#|1012|10,10,καί,καί,c--------,COORD
10,Leuven|0096-00#|1012|11,11,ἀλώπεκος,ἀλώπηξ,n-s---fg-,ADV_CO
11,Leuven|0096-00#|1012|12,12,ἐπιεικέστεροι,ἐπιεικής,a-p---mnc,PNOM
12,Leuven|0096-00#|1012|13,13,πρός,πρός,r--------,AuxP
13,Leuven|0096-00#|1012|14,14,κοινωνίαν,κοινωνία,n-s---fa-,ADV
14,Leuven|0096-00#|1012|15,15,φανεῖεν,φαίνω,v3ppoa---,PRED
