,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|0554-001|194|1,1,δοκεῖ,δοκέω,v3spia---,PRED
1,Leuven|0554-001|194|2,2,δή,δή,d--------,AuxY
2,Leuven|0554-001|194|3,3,μοι,ἐγώ,p1s---cd-,OBJ
3,Leuven|0554-001|194|4,4,νυκτὸς,νύξ,n-s---fg-,ADV
4,Leuven|0554-001|194|5,5,ἀνοῖξαι,ἀνοίγνυμι,v--ana---,SBJ_CO
5,Leuven|0554-001|194|6,6,τὸν,ὁ,l-s---ma-,ATR
6,Leuven|0554-001|194|7,7,τάφον,τάφος,n-s---ma-,OBJ
8,Leuven|0554-001|194|9,9,εἶτα,εἶτα,d--------,ADV
9,Leuven|0554-001|194|10,10,ἐνθεμένους,ἐντίθημι,v-papmma-,ADV_CO
10,Leuven|0554-001|194|11,11,τῷ,ὁ,l-s---md-,ATR
11,Leuven|0554-001|194|12,12,κέλητι,κέλης,n-s---md-,OBJ
13,Leuven|0554-001|194|14,14,πλεύσαντας,πλέω,v-papama-,ADV_CO
14,Leuven|0554-001|194|15,15,ὅποι,ὅποι,d--------,ADV
15,Leuven|0554-001|194|16,16,ποτ’,ποτέ,d--------,ADV
16,Leuven|0554-001|194|17,17,ἂν,ἄν,d--------,AuxY
17,Leuven|0554-001|194|18,18,φέρῃ,φέρω,v3spsa---,ADV
18,Leuven|0554-001|194|19,19,τὸ,ὁ,l-s---na-,ATR
19,Leuven|0554-001|194|20,20,πνεῦμα,πνεῦμα,n-s---nn-,SBJ
20,Leuven|0554-001|194|21,21,διαπωλῆσαι,διαπωλέω,v--ana---,SBJ_CO
21,Leuven|0554-001|194|22,22,τὸν,ὁ,l-s---ma-,ATR
22,Leuven|0554-001|194|23,23,φόρτον,φόρτος,n-s---ma-,OBJ
23,Leuven|0554-001|194|24,24,ἐπὶ,ἐπί,r--------,AuxP
24,Leuven|0554-001|194|25,25,ξένης,ξένος,a-s---fg-,ADV
25,Leuven|0554-001|194|26,26,``,``,u--------,AuxG
