,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|0041-001|224|1,1,μηδαμῶς,μηδαμῶς,d--------,ADV
2,Leuven|0041-001|224|3,3,ἀλλὰ,ἀλλά,c--------,COORD
3,Leuven|0041-001|224|4,4,σοὶ,σύ,p2s---cd-,ADV
4,Leuven|0041-001|224|5,5,μὲν,μέν,d--------,AuxY
5,Leuven|0041-001|224|6,6,ἀποκείσθω,ἀπόκειμαι,v3spme---,PRED_CO
6,Leuven|0041-001|224|7,7,πολέμων,πόλεμος,n-p---mg-,ATR_CO
7,Leuven|0041-001|224|8,8,ἔργα,ἔργον,n-p---nn-,SBJ
8,Leuven|0041-001|224|9,9,καὶ,καί,c--------,ATR
9,Leuven|0041-001|224|10,10,πολιτειῶν,πολιτεία,n-p---fg-,ATR_CO
11,Leuven|0041-001|224|12,12,ἡμῖν,ἐγώ,p1p---cd-,OBJ
12,Leuven|0041-001|224|13,13,δὲ,δέ,d--------,COORD
13,Leuven|0041-001|224|14,14,τῆς,ὁ,l-s---fg-,ATR
14,Leuven|0041-001|224|15,15,σῆς,σός,a-s---fg-,ATR
15,Leuven|0041-001|224|16,16,τοσοῦτον,τοσοῦτος,p-s---na-,ADV
16,Leuven|0041-001|224|17,17,ἀποτετμήσθω,ἀποτέμνω,v3srme---,PRED_CO
17,Leuven|0041-001|224|18,18,τυραννίδος,τυραννίς,n-s---fg-,ATR
19,Leuven|0041-001|224|20,20,ὅσον,ὅσος,p-s---nn-,SBJ
20,Leuven|0041-001|224|21,21,ἀταράχῳ,ἀτάρακτος,a-s---md-,ATR
21,Leuven|0041-001|224|22,22,ἀνδρὶ,ἀνήρ,n-s---md-,OBJ
22,Leuven|0041-001|224|23,23,δοκεῖ,δοκέω,v3spia---,ATR
23,Leuven|0041-001|224|24,24,ἐνησυχάσαι,ἐνησυχάζω,v--ana---,OBJ
