,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|0059-003|136|1,1,καὶ,καί,c--------,AuxY
1,Leuven|0059-003|136|2,2,ἐὰν,ἐάν,c--------,AuxC
2,Leuven|0059-003|136|3,3,μὲν,μέν,d--------,AuxY
3,Leuven|0059-003|136|4,4,φαίνηται,φαίνω,v3spse---,ADV
4,Leuven|0059-003|136|5,5,δίκαιον,δίκαιος,a-s---nn-,PNOM
6,Leuven|0059-003|136|7,7,πειρώμεθα,πειράω,v1ppse---,PRED_CO
8,Leuven|0059-003|136|9,9,εἰ,εἰ,c--------,AuxC
9,Leuven|0059-003|136|10,10,δὲ,δέ,d--------,COORD
10,Leuven|0059-003|136|11,11,μή,μή,d--------,AuxZ
12,Leuven|0059-003|136|13,13,ἐῶμεν,ἐάω,v1ppsa---,PRED_CO
