,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|0557-001|20|1,1,τί,τίς,p-s---nn-,SBJ
1,Leuven|0557-001|20|2,2,ἄλλο,ἄλλος,p-s---nn-,ATR
2,Leuven|0557-001|20|3,3,τό,ὁ,l-s---nn-,ATR
3,Leuven|0557-001|20|4,4,μουσικήν,μουσική,n-s---fa-,OBJ
5,Leuven|0557-001|20|6,6,γραμματικήν,γραμματικός,a-s---fa-,OBJ
7,Leuven|0557-001|20|8,8,τάς,ὁ,l-p---fa-,ATR
8,Leuven|0557-001|20|9,9,ἄλλας,ἄλλος,p-p---fa-,ATR
9,Leuven|0557-001|20|10,10,δυνάμεις,δύναμις,n-p---fa-,OBJ
10,Leuven|0557-001|20|11,11,διακρῖνον,διακρίνω,v-sppann-,PNOM_CO
12,Leuven|0557-001|20|13,13,δοκιμάζον,δοκιμάζω,v-sppann-,ADV_CO
13,Leuven|0557-001|20|14,14,τάς,ὁ,l-p---fa-,ATR
14,Leuven|0557-001|20|15,15,χρήσεις,χρῆσις,n-p---fa-,OBJ
15,Leuven|0557-001|20|16,16,αὐτῶν,αὐτός,p-p---fg-,ATR
16,Leuven|0557-001|20|17,17,καί,καί,c--------,COORD
17,Leuven|0557-001|20|18,18,τούς,ὁ,l-p---ma-,ATR
18,Leuven|0557-001|20|19,19,καιρούς,καιρός,n-p---ma-,OBJ
19,Leuven|0557-001|20|20,20,παραδεικνύον,παραδείκνυμι,v-sppann-,ADV_CO
