,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|0537-012|51|1,1,τῇ,ὁ,l-s---fd-,ATR
1,Leuven|0537-012|51|2,2,μέντοι,μέντοι,d--------,AuxY
2,Leuven|0537-012|51|3,3,συμμετρήσει,συμμέτρησις,n-s---fd-,ADV_CO
3,Leuven|0537-012|51|4,4,καί,καί,c--------,COORD
4,Leuven|0537-012|51|5,5,συμφερόντων,συμφέρω,v-pppang-,ATR_CO
5,Leuven|0537-012|51|6,6,καί,καί,c--------,COORD
6,Leuven|0537-012|51|7,7,ἀσυμφόρων,ἀσύμφορος,a-p---ng-,ATR_CO
7,Leuven|0537-012|51|8,8,βλέψει,βλέψις,n-s---fd-,ADV_CO
8,Leuven|0537-012|51|9,9,ταῦτα,οὗτος,a-p---na-,OBJ
9,Leuven|0537-012|51|10,10,πάντα,πᾶς,a-p---na-,ATR
10,Leuven|0537-012|51|11,11,κρίνειν,κρίνω,v--pna---,SBJ
11,Leuven|0537-012|51|12,12,καθήκει,καθήκω,v3spia---,PRED
