,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|0559-002|94|1,1,μὲν,μέν,d--------,AuxY
1,Leuven|0559-002|94|2,2,οὖν,οὖν,d--------,AuxY
2,Leuven|0559-002|94|3,3,πορεία,πορεία,n-s---fn-,PNOM
3,Leuven|0559-002|94|4,4,γίνεται,γίγνομαι,v3spie---,PRED_CO
4,Leuven|0559-002|94|5,5,τὸν,ὁ,l-s---ma-,ATR
5,Leuven|0559-002|94|6,6,εἰρημένον,λέγω,v-srpema-,ATR
6,Leuven|0559-002|94|7,7,τρόπον,τρόπος,n-s---ma-,ADV
8,Leuven|0559-002|94|9,9,ἡ,ὁ,l-s---fn-,ATR
9,Leuven|0559-002|94|10,10,δὲ,δέ,d--------,COORD
10,Leuven|0559-002|94|11,11,ἀποπορεία,ἀποπορεία,n-s---fn-,SBJ
11,Leuven|0559-002|94|12,12,οὕτως,οὕτως,d--------,ADV
