,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|0010-020|14|1,1,ταῦτα,οὗτος,p-p---na-,OBJ
1,Leuven|0010-020|14|2,2,δὲ,δέ,d--------,AuxY
2,Leuven|0010-020|14|3,3,κατεργάσασθαι,κατεργάζομαι,v--anm---,SBJ
3,Leuven|0010-020|14|4,4,πολὺ,πολύς,a-s---nn-,ADV
4,Leuven|0010-020|14|5,5,ῥᾷόν,ῥᾴδιος,a-s---nnc,PNOM
5,Leuven|0010-020|14|6,6,ἐστιν,εἰμί,v3spia---,PRED
6,Leuven|0010-020|14|7,7,ἐκ,ἐκ,r--------,AuxP
7,Leuven|0010-020|14|8,8,τῶν,ὁ,l-p---ng-,ATR
8,Leuven|0010-020|14|9,9,παρόντων,πάρειμι,v-pppang-,OBJ
9,Leuven|0010-020|14|10,10,ἢ,ἤ,c--------,AuxC
10,Leuven|0010-020|14|11,11,προελθεῖν,προέρχομαι,v--ana---,ADV
11,Leuven|0010-020|14|12,12,ἐπὶ,ἐπί,r--------,AuxP
12,Leuven|0010-020|14|13,13,τὴν,ὁ,l-s---fa-,ATR
13,Leuven|0010-020|14|14,14,δύναμιν,δύναμις,n-s---fa-,OBJ_CO
14,Leuven|0010-020|14|15,15,καὶ,καί,c--------,COORD
15,Leuven|0010-020|14|16,16,τὴν,ὁ,l-s---fa-,ATR
16,Leuven|0010-020|14|17,17,δόξαν,δόξα,n-s---fa-,OBJ_CO
17,Leuven|0010-020|14|18,18,ἣν,ὅς,p-s---fa-,OBJ
18,Leuven|0010-020|14|19,19,νῦν,νῦν,d--------,ADV
19,Leuven|0010-020|14|20,20,ἔχεις,ἔχω,v2spia---,ATR
21,Leuven|0010-020|14|22,22,ἐκ,ἐκ,r--------,AuxP
22,Leuven|0010-020|14|23,23,τῆς,ὁ,l-s---fg-,ATR
23,Leuven|0010-020|14|24,24,βασιλείας,βασιλεία,n-s---fg-,OBJ
24,Leuven|0010-020|14|25,25,τῆς,ὁ,l-s---fg-,ATR
25,Leuven|0010-020|14|26,26,ἐξ,ἐκ,r--------,AuxP
26,Leuven|0010-020|14|27,27,ἀρχῆς,ἀρχή,n-s---fg-,ATR
27,Leuven|0010-020|14|28,28,ὑμῖν,σύ,p2p---cd-,OBJ
28,Leuven|0010-020|14|29,29,ὑπαρξάσης,ὑπάρχω,v-sapafg-,ATR
