,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|2003-001|8|1,1,οἱ,ὁ,l-p---mn-,SBJ
1,Leuven|2003-001|8|2,2,δέ,δέ,d--------,AuxY
2,Leuven|2003-001|8|3,3,τῆς,ὁ,l-s---fg-,ATR
3,Leuven|2003-001|8|4,4,τέχνης,τέχνη,n-s---fg-,OBJ
4,Leuven|2003-001|8|5,5,ἀπολαῦσαι,ἀπολαύω,v--ana---,SBJ
5,Leuven|2003-001|8|6,6,φασιν,φημί,v3ppia---,PRED
6,Leuven|2003-001|8|7,7,ἐν,ἐν,r--------,AuxP
7,Leuven|2003-001|8|8,8,τῷ,ὁ,l-s---nd-,ATR
8,Leuven|2003-001|8|9,9,δύνασθαι,δύναμαι,v--pne---,PNOM_CO
9,Leuven|2003-001|8|10,10,περί,περί,r--------,AuxP
10,Leuven|2003-001|8|11,11,τῶν,ὁ,l-p---ng-,ATR
11,Leuven|2003-001|8|12,12,μικρῶν,μικρός,a-p---ng-,ADV
12,Leuven|2003-001|8|13,13,μειζόνως,μέγας,d--------,ADV
13,Leuven|2003-001|8|14,14,διελθεῖν,διέρχομαι,v--ana---,OBJ
15,Leuven|2003-001|8|16,16,καί,καί,c--------,AuxY
16,Leuven|2003-001|8|17,17,τό,ὁ,l-s---na-,ATR
17,Leuven|2003-001|8|18,18,μέγεθος,μέγεθος,n-s---na-,OBJ
18,Leuven|2003-001|8|19,19,ἀφελεῖν,ἀφαιρέω,v--ana---,PNOM_CO
19,Leuven|2003-001|8|20,20,τῶν,ὁ,l-p---ng-,ATR
20,Leuven|2003-001|8|21,21,ἔργων,ἔργον,n-p---ng-,OBJ
21,Leuven|2003-001|8|22,22,τῷ,ὁ,l-s---md-,ATR
22,Leuven|2003-001|8|23,23,λόγῳ,λόγος,n-s---md-,ADV
24,Leuven|2003-001|8|25,25,καί,καί,c--------,COORD
25,Leuven|2003-001|8|26,26,ὅλως,ὅλος,d--------,ADV
26,Leuven|2003-001|8|27,27,ἀντιτάττειν,ἀντιτάσσω,v--pna---,PNOM_CO
27,Leuven|2003-001|8|28,28,τῇ,ὁ,l-s---fd-,ATR
28,Leuven|2003-001|8|29,29,τῶν,ὁ,l-p---ng-,ATR
29,Leuven|2003-001|8|30,30,πραγμάτων,πρᾶγμα,n-p---ng-,ATR
30,Leuven|2003-001|8|31,31,φύσει,φύσις,n-s---fd-,OBJ
31,Leuven|2003-001|8|32,32,τήν,ὁ,l-s---fa-,ATR
32,Leuven|2003-001|8|33,33,δύναμιν,δύναμις,n-s---fa-,OBJ
33,Leuven|2003-001|8|34,34,τῶν,ὁ,l-p---mg-,ATR
34,Leuven|2003-001|8|35,35,λόγων,λόγος,n-p---mg-,ATR
