,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|0561-001|34|1,1,ἡ,ὁ,l-s---fn-,ATR
1,Leuven|0561-001|34|2,2,μέν,μέν,d--------,AuxY
2,Leuven|0561-001|34|3,3,δή,δή,d--------,AuxY
3,Leuven|0561-001|34|4,4,Νάπη,Νάπη,n-s---fn-,SBJ
4,Leuven|0561-001|34|5,5,̔,̔,u--------,AuxG
5,Leuven|0561-001|34|6,6,τοῦτο,οὗτος,p-s---nn-,OCOMP
6,Leuven|0561-001|34|7,7,γάρ,γάρ,d--------,AuxY
7,Leuven|0561-001|34|8,8,ἐκαλεῖτο,καλέω,v3siie---,ExD
8,Leuven|0561-001|34|9,9,̓,̓,u--------,AuxG
9,Leuven|0561-001|34|10,10,μήτηρ,μήτηρ,n-s---fn-,PNOM
10,Leuven|0561-001|34|11,11,εὐθύς,εὐθύς,d--------,ADV
11,Leuven|0561-001|34|12,12,ἦν,εἰμί,v3siia---,PRED_CO
12,Leuven|0561-001|34|13,13,καί,καί,c--------,AuxY
13,Leuven|0561-001|34|14,14,ἐφίλει,φιλέω,v3siia---,PRED_CO
14,Leuven|0561-001|34|15,15,τό,ὁ,l-s---na-,ATR
15,Leuven|0561-001|34|16,16,παιδίον,παιδίον,n-s---na-,OBJ
17,Leuven|0561-001|34|18,18,ὥσπερ,ὥσπερ,c--------,AuxC
18,Leuven|0561-001|34|19,19,ὑπό,ὑπό,r--------,AuxP
19,Leuven|0561-001|34|20,20,τῆς,ὁ,l-s---fg-,ATR
20,Leuven|0561-001|34|21,21,οἰός,ὄις,n-s---fg-,OBJ
21,Leuven|0561-001|34|22,22,παρευδοκιμηθῆναι,παρευδοκιμέω,v--anp---,OBJ
22,Leuven|0561-001|34|23,23,δεδοικυῖα,δείδω,v-srpafn-,ADV
24,Leuven|0561-001|34|25,25,καί,καί,c--------,COORD
25,Leuven|0561-001|34|26,26,τίθεται,τίθημι,v3spie---,PRED_CO_CO
26,Leuven|0561-001|34|27,27,καί,καί,d--------,AuxZ
27,Leuven|0561-001|34|28,28,αὐτή,αὐτός,p-s---fn-,ADV
28,Leuven|0561-001|34|29,29,ποιμενικόν,ποιμενικός,a-s---na-,ATR
29,Leuven|0561-001|34|30,30,ὄνομα,ὄνομα,n-s---na-,OBJ
30,Leuven|0561-001|34|31,31,πρός,πρός,r--------,AuxP
31,Leuven|0561-001|34|32,32,πίστιν,πίστις,n-s---fa-,ADV
32,Leuven|0561-001|34|33,33,αὐτῷ,αὐτός,p-s---nd-,ADV
34,Leuven|0561-001|34|35,35,Χλόην,Χλόη,n-s---fa-,APOS
