,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|0062-020|74|1,1,ἔτι,ἔτι,d--------,ADV
1,Leuven|0062-020|74|2,2,δέ,δέ,d--------,AuxY
2,Leuven|0062-020|74|3,3,μοι,ἐγώ,p1s---cd-,ExD
4,Leuven|0062-020|74|5,5,ὦ,ὦ,i--------,AuxZ
5,Leuven|0062-020|74|6,6,Ἑρμῆ,Ἑρμῆς,n-s---mv-,ExD
7,Leuven|0062-020|74|8,8,καὶ,καί,c--------,AuxY
8,Leuven|0062-020|74|9,9,τόδε,ὅδε,p-s---na-,OBJ
9,Leuven|0062-020|74|10,10,ἐννόησον,ἐννοέω,v2sama---,PRED
11,Leuven|0062-020|74|12,12,εἴ,εἰ,c--------,AuxC
12,Leuven|0062-020|74|13,13,τι,τις,p-s---nn-,SBJ
13,Leuven|0062-020|74|14,14,σοι,σύ,p2s---cd-,OBJ
14,Leuven|0062-020|74|15,15,δοκεῖ,δοκέω,v3spia---,APOS
15,Leuven|0062-020|74|16,16,ἀγαθὸν,ἀγαθός,a-s---nn-,ATR
16,Leuven|0062-020|74|17,17,ἀμάρτυρον,ἀμάρτυρος,a-s---nn-,ATR
18,Leuven|0062-020|74|19,19,οἷον,οἷον,c--------,AuxC
19,Leuven|0062-020|74|20,20,κτῆμα,κτῆμα,n-s---na-,APOS_CO
20,Leuven|0062-020|74|21,21,ἢ,ἤ,c--------,COORD
21,Leuven|0062-020|74|22,22,ποίημα,ποίημα,n-s---na-,APOS_CO
22,Leuven|0062-020|74|23,23,ὃ,ὅς,p-s---na-,OBJ
23,Leuven|0062-020|74|24,24,μηδεὶς,μηδείς,p-s---mn-,SBJ
24,Leuven|0062-020|74|25,25,ὄψεται,ὁράω,v3sfim---,ATR_CO
25,Leuven|0062-020|74|26,26,μηδὲ,μηδέ,c--------,COORD
26,Leuven|0062-020|74|27,27,ἐπαινέσεται,ἐπαινέω,v3sfim---,ATR_CO
28,Leuven|0062-020|74|29,29,ὁμοίως,ὅμοιος,d--------,ADV
29,Leuven|0062-020|74|30,30,ἡδὺ,ἡδύς,a-s---na-,PNOM_CO
30,Leuven|0062-020|74|31,31,καὶ,καί,c--------,COORD
31,Leuven|0062-020|74|32,32,τερπνὸν,τερπνός,a-s---na-,PNOM_CO
32,Leuven|0062-020|74|33,33,ἔσεσθαι,εἰμί,v--fnm---,OBJ
33,Leuven|0062-020|74|34,34,τῷ,ὁ,l-s---md-,ATR
34,Leuven|0062-020|74|35,35,ἔχοντι,ἔχω,v-sppamd-,ADV
