,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|0062-015|165|1,1,ὁ,ὁ,l-s---mn-,ATR
1,Leuven|0062-015|165|2,2,θαυμάσιος,θαυμάσιος,a-s---mn-,ATR
2,Leuven|0062-015|165|3,3,δὲ,δέ,d--------,AuxY
3,Leuven|0062-015|165|4,4,Ἀλκιδάμας,Ἀλκιδάμας,n-s---mn-,SBJ
4,Leuven|0062-015|165|5,5,καὶ,καί,d--------,AuxZ
5,Leuven|0062-015|165|6,6,ἐούρει,οὐρέω,v3siia---,PRED
6,Leuven|0062-015|165|7,7,ἐν,ἐν,r--------,AuxP
7,Leuven|0062-015|165|8,8,τῷ,ὁ,l-s---nd-,ATR
8,Leuven|0062-015|165|9,9,μέσῳ,μέσος,a-s---nd-,OBJ
9,Leuven|0062-015|165|10,10,οὐκ,οὐ,d--------,AuxZ
10,Leuven|0062-015|165|11,11,αἰδούμενος,αἰδέομαι,v-sppemn-,ADV
11,Leuven|0062-015|165|12,12,τὰς,ὁ,l-p---fa-,ATR
12,Leuven|0062-015|165|13,13,γυναῖκας,γυνή,n-p---fa-,OBJ
