,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|0540-024|24|1,1,μηδὲ,μηδέ,d--------,AuxZ
1,Leuven|0540-024|24|2,2,πρότερον,πρότερος,d-------c,ADV
2,Leuven|0540-024|24|3,3,καὶ,καί,d--------,AuxZ
3,Leuven|0540-024|24|4,4,περὶ,περί,r--------,AuxP
4,Leuven|0540-024|24|5,5,τοὺς,ὁ,l-p---ma-,ATR
5,Leuven|0540-024|24|6,6,οὐδὲν,οὐδείς,p-s---na-,ATR
6,Leuven|0540-024|24|7,7,ἔχοντας,ἔχω,v-pppama-,ADV
7,Leuven|0540-024|24|8,8,κακὸν,κακός,a-s---na-,OBJ
8,Leuven|0540-024|24|9,9,ἐλεημονέστατοι,ἐλεήμων,a-p---mns,PNOM
9,Leuven|0540-024|24|10,10,δοκοῦντες,δοκέω,v-pppamn-,ADV
10,Leuven|0540-024|24|11,11,εἶναι,εἰμί,v--pna---,OBJ
11,Leuven|0540-024|24|12,12,νυνὶ,νυνί,d--------,ADV
12,Leuven|0540-024|24|13,13,διὰ,διά,r--------,AuxP
13,Leuven|0540-024|24|14,14,τοῦτον,οὗτος,p-s---ma-,ADV
14,Leuven|0540-024|24|15,15,τοὺς,ὁ,l-p---ma-,ATR
15,Leuven|0540-024|24|16,16,καὶ,καί,d--------,AuxZ
16,Leuven|0540-024|24|17,17,τοῖς,ὁ,l-p---md-,ATR
17,Leuven|0540-024|24|18,18,ἐχθροῖς,ἐχθρός,a-p---md-,ADV
18,Leuven|0540-024|24|19,19,ἐλεινοὺς,ἐλεεινός,a-p---ma-,PNOM
19,Leuven|0540-024|24|20,20,ὄντας,εἰμί,v-pppama-,OBJ
20,Leuven|0540-024|24|21,21,ἀγρίως,ἄγριος,d--------,ADV
21,Leuven|0540-024|24|22,22,ἀποδέξησθε,ἀποδέχομαι,v2pase---,PRED
