,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|PaeanBrev|347|1,1,ὁ,ὁ,l-s---mn-,ATR
1,Leuven|PaeanBrev|347|2,2,γάρ,γάρ,d--------,AuxY
2,Leuven|PaeanBrev|347|3,3,ἀρχιερεύς,ἀρχιερεύς,n-s---mn-,SBJ
4,Leuven|PaeanBrev|347|5,5,ὁ,ὁ,l-s---mn-,ATR
5,Leuven|PaeanBrev|347|6,6,καλούμενος,καλέω,v-sppemn-,APOS
6,Leuven|PaeanBrev|347|7,7,παρʼ,παρά,r--------,AuxP
7,Leuven|PaeanBrev|347|8,8,αὐτοῖς,αὐτός,p-p---md-,OBJ
8,Leuven|PaeanBrev|347|9,9,πόντιφεξ,ποντιφεξ,n-s---mn-,OCOMP
10,Leuven|PaeanBrev|347|11,11,οὐκ,οὐ,d--------,AuxZ
11,Leuven|PaeanBrev|347|12,12,εἶναι,εἰμί,v--pna---,OBJ
12,Leuven|PaeanBrev|347|13,13,τό,ὁ,l-s---na-,ATR
13,Leuven|PaeanBrev|347|14,14,πρᾶγμα,πρᾶγμα,n-s---na-,SBJ
14,Leuven|PaeanBrev|347|15,15,ἐπιορκίαν,ἐπιορκία,n-s---fa-,PNOM
15,Leuven|PaeanBrev|347|16,16,ἐκ,ἐκ,r--------,AuxP
16,Leuven|PaeanBrev|347|17,17,τῶν,ὁ,l-p---mg-,ATR
17,Leuven|PaeanBrev|347|18,18,ἱερῶν,ἱερός,a-p---mg-,ATR
18,Leuven|PaeanBrev|347|19,19,ἐψηφίσατο,ψηφίζω,v3saim---,PRED
19,Leuven|PaeanBrev|347|20,20,νόμων,νόμος,n-p---mg-,ADV
