,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|31649|4|1,1,ἡ,ὁ,l-s---fn-,ATR
1,Leuven|31649|4|2,2,μήτηρ,μήτηρ,n-s---fn-,SBJ
2,Leuven|31649|4|3,3,μου,ἐγώ,p1s---cg-,ATR
3,Leuven|31649|4|4,4,Θαῆσις,Θαῆσις,n-s---mn-,APOS
4,Leuven|31649|4|5,5,εἰς,εἰς,r--------,AuxP
5,Leuven|31649|4|6,6,Ἀντινόου,Ἀντίνοος,n-s---mg-,ATR
7,Leuven|31649|4|8,8,δοκῶ,δοκέω,v1spia---,ExD
9,Leuven|31649|4|10,10,ἐπί,ἐπί,r--------,AuxP
10,Leuven|31649|4|11,11,κηδείαν,κηδεία,n-s---fa-,OBJ
11,Leuven|31649|4|12,12,ἀπῆλθεν,ἀπέρχομαι,v3saia---,PRED
