,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|0585-001|113|1,1,ἥξει,ἥκω,v3sfia---,PRED
1,Leuven|0585-001|113|2,2,γὰρ,γάρ,d--------,AuxY
2,Leuven|0585-001|113|3,3,στρατὸς,στρατός,n-s---mn-,SBJ
3,Leuven|0585-001|113|4,4,εὐρύς,εὐρύς,a-s---mn-,ATR
5,Leuven|0585-001|113|6,6,ὅ,ὅς,p-s---nn-,SBJ
6,Leuven|0585-001|113|7,7,σου,σύ,p2s---cg-,ATR
7,Leuven|0585-001|113|8,8,χθόνα,χθών,n-s---fa-,OBJ
8,Leuven|0585-001|113|9,9,πᾶσαν,πᾶς,a-s---fa-,ATR
9,Leuven|0585-001|113|10,10,ὀλέσσει,ὄλλυμι,v3sfia---,ATR_CO
11,Leuven|0585-001|113|12,12,χηρώσει,χηρόω,v3sfia---,ATR_CO
12,Leuven|0585-001|113|13,13,δ’,δέ,d--------,AuxY
13,Leuven|0585-001|113|14,14,ἀγοράς,ἀγορά,n-p---fa-,OBJ
15,Leuven|0585-001|113|16,16,ἄστη,ἄστυ,n-p---na-,OBJ
16,Leuven|0585-001|113|17,17,δέ,δέ,d--------,AuxY
17,Leuven|0585-001|113|18,18,τε,τε,c--------,AuxY
18,Leuven|0585-001|113|19,19,πυρπόλα,πυρπόλος,a-p---na-,OCOMP
19,Leuven|0585-001|113|20,20,θήσει,τίθημι,v3sfia---,ATR_CO
21,Leuven|0585-001|113|22,22,αἵματι,αἷμα,n-s---nd-,ADV
22,Leuven|0585-001|113|23,23,δὲ,δέ,d--------,AuxY
23,Leuven|0585-001|113|24,24,πλήσει,πίμπλημι,v3sfia---,ATR_CO
24,Leuven|0585-001|113|25,25,ποταμούς,ποταμός,n-p---ma-,OBJ
26,Leuven|0585-001|113|27,27,πλήσει,πίμπλημι,v3sfia---,ATR_CO
27,Leuven|0585-001|113|28,28,δὲ,δέ,d--------,AuxY
28,Leuven|0585-001|113|29,29,καὶ,καί,d--------,AuxZ
29,Leuven|0585-001|113|30,30,Ἅιδην,Ἅιδης,n-s---ma-,OBJ
31,Leuven|0585-001|113|32,32,δουλοσύνην,δουλοσύνη,n-s---fa-,OBJ
32,Leuven|0585-001|113|33,33,τ’,τε,c--------,COORD
33,Leuven|0585-001|113|34,34,οἰκτρήν,οἰκτρός,a-s---fa-,ATR
35,Leuven|0585-001|113|36,36,στυγερήν,στυγερός,a-s---fa-,ATR
37,Leuven|0585-001|113|38,38,ἀτέκμαρτον,ἀτέκμαρτος,a-s---fa-,ATR
38,Leuven|0585-001|113|39,39,ἐφήσει,ἐφίημι,v3sfia---,ATR_CO
