,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|4029-001|1150|1,1,καὶ,καί,c--------,AuxY
1,Leuven|4029-001|1150|2,2,εἰ,εἰ,c--------,AuxC
2,Leuven|4029-001|1150|3,3,μὲν,μέν,d--------,AuxY
3,Leuven|4029-001|1150|4,4,εὐθὺς,εὐθύς,d--------,ADV
4,Leuven|4029-001|1150|5,5,ἐλθεῖν,ἔρχομαι,v--ana---,OBJ
5,Leuven|4029-001|1150|6,6,παρὰ,παρά,r--------,AuxP
6,Leuven|4029-001|1150|7,7,βασιλέα,βασιλεύς,n-s---ma-,OBJ
7,Leuven|4029-001|1150|8,8,ἐθάρσησεν,θαρσέω,v3saia---,ADV
9,Leuven|4029-001|1150|10,10,οἶμαι,οἴομαι,v1spie---,ExD
10,Leuven|4029-001|1150|11,11,ἂν,ἄν,d--------,AuxY
12,Leuven|4029-001|1150|13,13,οὐδὲν,οὐδείς,p-s---na-,ATR
13,Leuven|4029-001|1150|14,14,ἐπεπόνθει,πεπονθέω,v3siia---,PRED
14,Leuven|4029-001|1150|15,15,πρὸς,πρός,r--------,AuxP
15,Leuven|4029-001|1150|16,16,αὐτοῦ,αὐτός,p-s---mg-,ADV
16,Leuven|4029-001|1150|17,17,ἄχαρι,ἄχαρις,n-s---na-,OBJ
17,Leuven|4029-001|1150|18,18,·,·,u--------,AuxK
