,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|Ps-Luc|321|1,1,εἶτα,εἶτα,d--------,ADV
1,Leuven|Ps-Luc|321|2,2,ἐκύλιον,κυλίω,v1siia---,PRED_CO
2,Leuven|Ps-Luc|321|3,3,ἐνταῦθα,ἐνταῦθα,d--------,ADV
3,Leuven|Ps-Luc|321|4,4,τὸ,ὁ,l-s---na-,ATR
4,Leuven|Ps-Luc|321|5,5,στυππεῖον,στυππεῖον,n-s---na-,OBJ
5,Leuven|Ps-Luc|321|6,6,καὶ,καί,c--------,AuxY
6,Leuven|Ps-Luc|321|7,7,δινῶν,δινόω,v-sppamn-,ADV_CO
7,Leuven|Ps-Luc|321|8,8,καὶ,καί,c--------,COORD
8,Leuven|Ps-Luc|321|9,9,στρέφων,στρέφω,v-sppamn-,ADV_CO
9,Leuven|Ps-Luc|321|10,10,ἐμαυτὸν,ἐμαυτοῦ,p-s---ma-,OBJ
10,Leuven|Ps-Luc|321|11,11,τῶι,ὁ,l-s---md-,ATR
11,Leuven|Ps-Luc|321|12,12,πηλῶι,πηλός,n-s---md-,OBJ
12,Leuven|Ps-Luc|321|13,13,κατέσβεσα,κατασβέννυμι,v1saia---,PRED_CO
13,Leuven|Ps-Luc|321|14,14,τὸ,ὁ,l-s---na-,ATR
14,Leuven|Ps-Luc|321|15,15,θερμὸν,θερμός,a-s---na-,ATR_CO
15,Leuven|Ps-Luc|321|16,16,ἐκεῖνο,ἐκεῖνος,p-s---na-,ATR
16,Leuven|Ps-Luc|321|17,17,καὶ,καί,c--------,COORD
17,Leuven|Ps-Luc|321|18,18,πικρὸν,πικρός,a-s---na-,ATR_CO
18,Leuven|Ps-Luc|321|19,19,ἐμοὶ,ἐγώ,p1s---cd-,ATR
19,Leuven|Ps-Luc|321|20,20,φορτίον,φορτίον,n-s---na-,OBJ
21,Leuven|Ps-Luc|321|22,22,καὶ,καί,c--------,COORD
22,Leuven|Ps-Luc|321|23,23,οὕτω,οὕτως,d--------,ADV
23,Leuven|Ps-Luc|321|24,24,λοιπὸν,λοιπός,a-s---na-,ADV
24,Leuven|Ps-Luc|321|25,25,ἀκινδυνότερον,ἀκίνδυνος,a-s---nac,ADV
25,Leuven|Ps-Luc|321|26,26,ἐβάδιζον,βαδίζω,v3piia---,PRED_CO
26,Leuven|Ps-Luc|321|27,27,τῆς,ὁ,l-s---fg-,ATR
27,Leuven|Ps-Luc|321|28,28,ὁδοῦ,ὁδός,n-s---fg-,ATR
28,Leuven|Ps-Luc|321|29,29,τὸ,ὁ,l-s---na-,ATR
29,Leuven|Ps-Luc|321|30,30,ἐπίλοιπον,ἐπίλοιπος,a-s---na-,OBJ
