,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|0059-00x|71|1,1,ἐπεὶ,ἐπεί,c--------,AuxC
1,Leuven|0059-00x|71|2,2,εἴ,εἰ,c--------,AuxC
2,Leuven|0059-00x|71|3,3,γ’,γε,d--------,AuxZ
3,Leuven|0059-00x|71|4,4,ἐθέλεις,ἐθέλω,v2spia---,ADV_CO
4,Leuven|0059-00x|71|5,5,σὺ,σύ,p2s---cn-,SBJ
5,Leuven|0059-00x|71|6,6,τούτων,οὗτος,p-p---mg-,ATR
6,Leuven|0059-00x|71|7,7,μὲν,μέν,d--------,AuxY
7,Leuven|0059-00x|71|8,8,ἤδη,ἤδη,d--------,ADV
8,Leuven|0059-00x|71|9,9,παύσασθαι,παύω,v--anm---,OBJ
9,Leuven|0059-00x|71|10,10,πρὸς,πρός,r--------,AuxP
10,Leuven|0059-00x|71|11,11,ἐμὲ,ἐγώ,p1s---ca-,ADV
11,Leuven|0059-00x|71|12,12,τῶν,ὁ,l-p---mg-,ATR
12,Leuven|0059-00x|71|13,13,λόγων,λόγος,n-p---mg-,OBJ
13,Leuven|0059-00x|71|14,14,τῶν,ὁ,l-p---mg-,ATR
14,Leuven|0059-00x|71|15,15,προτρεπτικῶν,προτρεπτικός,a-p---mg-,ATR
16,Leuven|0059-00x|71|17,17,οἷον,οἷον,c--------,AuxC
17,Leuven|0059-00x|71|18,18,δέ,δέ,d--------,AuxY
19,Leuven|0059-00x|71|20,20,εἰ,εἰ,c--------,AuxC
20,Leuven|0059-00x|71|21,21,περὶ,περί,r--------,AuxP
21,Leuven|0059-00x|71|22,22,γυμναστικῆς,γυμναστικός,a-s---fg-,ADV
22,Leuven|0059-00x|71|23,23,προτετραμμένος,προτρέπω,v-srpemn-,PNOM
23,Leuven|0059-00x|71|24,24,ἦ,εἰμί,v3siia---,ADV
24,Leuven|0059-00x|71|25,25,τοῦ,ὁ,l-s---ng-,ATR
25,Leuven|0059-00x|71|26,26,σώματος,σῶμα,n-s---ng-,OBJ
26,Leuven|0059-00x|71|27,27,δεῖν,δέω,v--pna---,OBJ
27,Leuven|0059-00x|71|28,28,μὴ,μή,d--------,AuxZ
28,Leuven|0059-00x|71|29,29,ἀμελεῖν,ἀμελέω,v--pna---,SBJ
30,Leuven|0059-00x|71|31,31,τὸ,ὁ,l-s---na-,ATR
31,Leuven|0059-00x|71|32,32,ἐφεξῆς,ἐφεξῆς,d--------,OBJ
32,Leuven|0059-00x|71|33,33,ἂν,ἄν,d--------,AuxY
33,Leuven|0059-00x|71|34,34,τῷ,ὁ,l-s---md-,ATR
34,Leuven|0059-00x|71|35,35,προτρεπτικῷ,προτρεπτικός,a-s---md-,ATR
35,Leuven|0059-00x|71|36,36,λόγῳ,λόγος,n-s---md-,ADV
36,Leuven|0059-00x|71|37,37,ἔλεγες,λέγω,v2siia---,ADV
37,Leuven|0059-00x|71|38,38,οἷον,οἷος,p-s---na-,SBJ
38,Leuven|0059-00x|71|39,39,τὸ,ὁ,l-s---nn-,ATR
39,Leuven|0059-00x|71|40,40,σῶμά,σῶμα,n-s---nn-,SBJ
40,Leuven|0059-00x|71|41,41,μου,ἐγώ,p1s---cg-,ATR
41,Leuven|0059-00x|71|42,42,φύσει,φύσις,n-s---fd-,ADV
42,Leuven|0059-00x|71|43,43,ὂν,εἰμί,v-sppana-,ADV
43,Leuven|0059-00x|71|44,44,οἵας,οἷος,p-s---fg-,ATR
44,Leuven|0059-00x|71|45,45,θεραπείας,θεραπεία,n-s---fg-,OBJ
45,Leuven|0059-00x|71|46,46,δεῖται,δέω,v3spie---,OBJ
47,Leuven|0059-00x|71|48,48,καὶ,καί,d--------,AuxZ
48,Leuven|0059-00x|71|49,49,νῦν,νῦν,d--------,ADV
49,Leuven|0059-00x|71|50,50,δὴ,δή,d--------,AuxY
50,Leuven|0059-00x|71|51,51,τ-,ὁ,l-s---nn-,ATR
51,"Leuven|0059-00x|71|51,1",52,αὐτὸν,αὐτός,p-s---nn-,SBJ
52,Leuven|0059-00x|71|52,53,γιγνέσθω,γίγνομαι,v3spme---,PRED
