,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|0544-002|501|1,1,πλὴν,πλήν,d--------,AuxY
1,Leuven|0544-002|501|2,2,συνῆκται,συνάγω,v3srie---,PRED_CO
2,Leuven|0544-002|501|3,3,τὸ,ὁ,l-s---nn-,ATR
3,Leuven|0544-002|501|4,4,προκείμενον,πρόκειμαι,v-sppenn-,SBJ
5,Leuven|0544-002|501|6,6,καὶ,καί,c--------,COORD
6,Leuven|0544-002|501|7,7,μήτε,μήτε,c--------,AuxY
7,Leuven|0544-002|501|8,8,προσθέσεως,πρόσθεσις,n-s---fg-,SBJ_CO
8,Leuven|0544-002|501|9,9,μήτε,μήτε,c--------,COORD
9,Leuven|0544-002|501|10,10,ἀφαιρέσεως,ἀφαίρεσις,n-s---fg-,SBJ_CO
10,Leuven|0544-002|501|11,11,οὔσης,εἰμί,v-sppafg-,ADV
11,Leuven|0544-002|501|12,12,ἀναιρεῖται,ἀναιρέω,v3spie---,PRED_CO
12,Leuven|0544-002|501|13,13,ὁ,ὁ,l-s---mn-,ATR
13,Leuven|0544-002|501|14,14,προειρημένος,προλέγω,v-srppmn-,ATR
14,Leuven|0544-002|501|15,15,τοῦ,ὁ,l-s---mg-,ATR
15,Leuven|0544-002|501|16,16,μερισμοῦ,μερισμός,n-s---mg-,ATR
16,Leuven|0544-002|501|17,17,τρόπος,τρόπος,n-s---mn-,SBJ
