,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|0093-009|438|1,1,καὶ,καί,c--------,AuxY
1,Leuven|0093-009|438|2,2,εἰπεῖν,λέγω,v--ana---,OBJ
3,Leuven|0093-009|438|4,4,ὡς,ὡς,c--------,AuxC
5,Leuven|0093-009|438|6,6,οὐχ,οὐ,d--------,AuxZ
6,Leuven|0093-009|438|7,7,ἕξομεν,ἔχω,v1pfia---,OBJ
7,Leuven|0093-009|438|8,8,τοὺς,ὁ,l-p---ma-,ATR
8,Leuven|0093-009|438|9,9,ὑπὲρ,ὑπέρ,r--------,AuxP
9,Leuven|0093-009|438|10,10,τῶν,ὁ,l-p---ng-,ATR
10,Leuven|0093-009|438|11,11,κοινῶν,κοινός,a-p---ng-,ADV
11,Leuven|0093-009|438|12,12,συναχθεσθησομένους,συνάχθομαι,v-pfppma-,OBJ
13,Leuven|0093-009|438|14,14,ἂν,ἐάν,c--------,AuxC
14,Leuven|0093-009|438|15,15,τοὺς,ὁ,l-p---ma-,ATR
15,Leuven|0093-009|438|16,16,τοιούτους,τοιοῦτος,p-p---ma-,OBJ
16,Leuven|0093-009|438|17,17,προώμεθα,προίημι,v1pasm---,ADV
