,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|0032-002|842|1,1,χαλεπὸν,χαλεπός,a-s---nn-,PNOM
1,Leuven|0032-002|842|2,2,μὲν,μέν,d--------,AuxY
2,Leuven|0032-002|842|3,3,οὖν,οὖν,d--------,AuxY
3,Leuven|0032-002|842|4,4,ἐστιν,εἰμί,v3spia---,PRED_CO
5,Leuven|0032-002|842|6,6,ὦ,ὦ,i--------,AuxZ
6,Leuven|0032-002|842|7,7,Σώκρατες,Σωκράτης,n-s---mv-,ExD
8,Leuven|0032-002|842|9,9,τοὺς,ὁ,l-p---ma-,ATR
9,Leuven|0032-002|842|10,10,οἰκείους,οἰκεῖος,a-p---ma-,SBJ
10,Leuven|0032-002|842|11,11,περιορᾶν,περιοράω,v--pna---,SBJ
11,Leuven|0032-002|842|12,12,ἀπολλυμένους,ἀπόλλυμι,v-pppema-,OBJ
13,Leuven|0032-002|842|14,14,ἀδύνατον,ἀδύνατος,a-s---nn-,PNOM
14,Leuven|0032-002|842|15,15,δὲ,δέ,d--------,COORD
15,Leuven|0032-002|842|16,16,τοσούτους,τοσοῦτος,p-p---ma-,OBJ
16,Leuven|0032-002|842|17,17,τρέφειν,τρέφω,v--pna---,SBJ
17,Leuven|0032-002|842|18,18,ἐν,ἐν,r--------,AuxP
18,Leuven|0032-002|842|19,19,τοιούτοις,τοιοῦτος,p-p---nd-,ATR
19,Leuven|0032-002|842|20,20,πράγμασιν,πρᾶγμα,n-p---nd-,ADV
